seed,condition,epoch,phase,burst,task_count,closed,closure_rate_bps,operational_debt_auc,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,active_mutation_ids,active_mutation_epoch_count,hard_floor_regression_count,rollback_failures
20260510,observe_only,20,longrun_eval,safe_expression_burst,8,6,7500,4,2,0,0,2,8,1623,[],0,0,0
20260510,weak_fixed,4,longrun_eval,schema_drift,8,0,0,24,8,8,0,8,8,1755,[],0,0,0
20260510,weak_fixed,5,longrun_eval,validator_burst,8,0,0,24,8,8,0,8,8,838,[],0,0,0
20260510,weak_fixed,6,longrun_eval,context_budget_burst,8,0,0,24,8,8,0,8,8,1796,[],0,0,0
20260510,weak_fixed,7,longrun_eval,receipt_family_burst,8,0,0,24,8,8,0,8,8,1854,[],0,0,0
20260510,weak_fixed,8,longrun_eval,safe_expression_burst,8,0,0,24,8,8,0,8,8,1766,[],0,0,0
20260510,weak_fixed,9,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,812,[],0,0,0
20260510,weak_fixed,10,longrun_eval,schema_drift,8,0,0,24,8,8,0,8,8,1872,[],0,0,0
20260510,weak_fixed,11,longrun_eval,validator_burst,8,0,0,24,8,8,0,8,8,826,[],0,0,0
20260510,weak_fixed,12,longrun_eval,context_budget_burst,8,0,0,24,8,8,0,8,8,1772,[],0,0,0
20260510,weak_fixed,13,longrun_eval,receipt_family_burst,8,0,0,24,8,8,0,8,8,1810,[],0,0,0
20260510,weak_fixed,14,longrun_eval,safe_expression_burst,8,0,0,24,8,8,0,8,8,1775,[],0,0,0
20260510,weak_fixed,15,longrun_eval,recovery,8,0,0,24,8,8,0,8,8,1761,[],0,0,0
20260510,weak_fixed,16,longrun_eval,schema_drift,8,0,0,24,8,8,0,8,8,2732,[],0,0,0
20260510,weak_fixed,17,longrun_eval,validator_burst,8,0,0,24,8,8,0,8,8,817,[],0,0,0
20260510,weak_fixed,18,longrun_eval,context_budget_burst,8,0,0,24,8,8,0,8,8,883,[],0,0,0
20260510,weak_fixed,19,longrun_eval,receipt_family_burst,8,0,0,24,8,8,0,8,8,825,[],0,0,0
20260510,weak_fixed,20,longrun_eval,safe_expression_burst,8,0,0,24,8,8,0,8,8,994,[],0,0,0
