condition,epoch,phase,burst,task_count,closed,validation_failures,parse_failures,retries,unresolved_obligations,operational_debt,attempts,latency_ms,char_budget,active_policy_hashes,active_mutation_ids,seed
oasg_observe_only,4,longrun_eval,validator_failure_burst,8,7,1,0,0,1,2,8,193077,2046,[],[],20260511
oasg_observe_only,5,longrun_eval,recovery,8,5,3,0,0,3,6,8,171548,2032,[],[],20260511
oasg_observe_only,6,longrun_eval,steady,8,6,2,0,0,2,4,8,220307,1963,[],[],20260511
oasg_observe_only,7,longrun_eval,steady,8,5,3,1,0,3,7,8,213730,1976,[],[],20260511
oasg_observe_only,8,longrun_eval,context_budget_pressure,8,8,0,0,0,0,0,8,159631,1946,[],[],20260511
oasg_observe_only,9,longrun_eval,recovery,8,4,4,1,0,4,9,8,269497,2027,[],[],20260511
oasg_observe_only,10,longrun_eval,steady,8,5,3,0,0,3,6,8,255962,1811,[],[],20260511
oasg_observe_only,11,longrun_eval,steady,8,5,3,1,0,3,7,8,240353,1942,[],[],20260511
oasg_observe_only,12,longrun_eval,stale_format_drift,8,4,4,0,0,4,8,8,242045,2052,[],[],20260511
oasg_observe_only,13,longrun_eval,recovery,8,6,2,0,0,2,4,8,246704,1773,[],[],20260511
oasg_observe_only,14,longrun_eval,steady,8,7,1,0,0,1,2,8,132720,2025,[],[],20260511
oasg_observe_only,15,longrun_eval,steady,8,4,4,1,0,4,9,8,223546,1913,[],[],20260511
oasg_observe_only,16,longrun_eval,rollback_receipt_gap,8,5,3,0,0,3,6,8,150858,1900,[],[],20260511
oasg_observe_only,17,longrun_eval,recovery,8,6,2,1,0,2,5,8,303873,1868,[],[],20260511
oasg_observe_only,18,longrun_eval,steady,8,5,3,0,0,3,6,8,307604,1906,[],[],20260511
oasg_observe_only,19,longrun_eval,steady,8,6,2,0,0,2,4,8,199117,2044,[],[],20260511
oasg_observe_only,20,longrun_eval,steady,8,5,3,0,0,3,6,8,295522,1939,[],[],20260511
oasg_adaptive,1,warmup,warmup_format_drift,8,5,3,0,0,3,6,8,209149,2081,[],[],20260511
oasg_adaptive,2,warmup,warmup_backlog,8,6,2,0,0,2,4,8,246656,2053,['sha256:dbe104083b6663a6cb90f355256274b1e594720c8c505535578da3973d00c9d1'],[],20260511
oasg_adaptive,3,warmup,warmup_rollback_gap,8,6,2,0,0,2,4,8,232386,2201,['sha256:dbe104083b6663a6cb90f355256274b1e594720c8c505535578da3973d00c9d1'],[],20260511
