seed,condition,epoch,phase,burst,task_count,closed,closure_rate_bps,operational_debt_auc,cost_to_close_units,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,latency_ms,active_mutation_ids,active_mutation_epoch_count,hard_floor_regression_count,rollback_failures
20260509,strong_positive_control,19,longrun_eval,receipt_family_burst,8,6,7500,4,17991,2,0,0,2,8,1711,82826,[],0,0,0
20260509,strong_positive_control,20,longrun_eval,safe_expression_burst,8,6,7500,4,19530,2,0,0,2,8,1615,99196,[],0,0,0
20260509,strong_rule_adaptive_control,4,longrun_eval,schema_drift,8,5,6250,6,16868,3,0,0,3,8,1526,73463,[],0,0,0
20260509,strong_rule_adaptive_control,5,longrun_eval,validator_burst,8,5,6250,6,16546,3,0,0,3,8,1572,69791,[],0,0,0
20260509,strong_rule_adaptive_control,6,longrun_eval,context_budget_burst,8,5,6250,6,21989,3,0,0,3,8,1850,121414,[],0,0,0
20260509,strong_rule_adaptive_control,7,longrun_eval,receipt_family_burst,8,6,7500,4,18240,2,0,0,2,8,1657,85863,[],0,0,0
20260509,strong_rule_adaptive_control,8,longrun_eval,safe_expression_burst,8,6,7500,4,19478,2,0,0,2,8,1702,97790,[],0,0,0
20260509,strong_rule_adaptive_control,9,longrun_eval,recovery,8,6,7500,4,16792,2,0,0,2,8,1572,72236,[],0,0,0
20260509,strong_rule_adaptive_control,10,longrun_eval,schema_drift,8,5,6250,6,16856,3,0,0,3,8,1575,72857,[],0,0,0
20260509,strong_rule_adaptive_control,11,longrun_eval,validator_burst,8,6,7500,4,18351,2,0,0,2,8,1619,87350,[],0,0,0
20260509,strong_rule_adaptive_control,12,longrun_eval,context_budget_burst,8,6,7500,4,17683,2,0,0,2,8,1539,81493,[],0,0,0
20260509,strong_rule_adaptive_control,13,longrun_eval,receipt_family_burst,8,6,7500,4,19743,2,0,0,2,8,1695,100509,[],0,0,0
20260509,strong_rule_adaptive_control,14,longrun_eval,safe_expression_burst,8,5,6250,6,18168,3,0,0,3,8,1611,85609,[],0,0,0
20260509,strong_rule_adaptive_control,15,longrun_eval,recovery,8,5,6250,6,21592,3,0,0,3,8,1803,117924,[],0,0,0
20260509,strong_rule_adaptive_control,16,longrun_eval,schema_drift,8,6,7500,4,16830,2,0,0,2,8,1578,72564,[],0,0,0
20260509,strong_rule_adaptive_control,17,longrun_eval,validator_burst,8,6,7500,4,18916,2,0,0,2,8,1629,92909,[],0,0,0
20260509,strong_rule_adaptive_control,18,longrun_eval,context_budget_burst,8,5,6250,6,23307,3,0,0,3,8,1835,134759,[],0,0,0
20260509,strong_rule_adaptive_control,19,longrun_eval,receipt_family_burst,8,6,7500,4,17946,2,0,0,2,8,1711,82385,[],0,0,0
20260509,strong_rule_adaptive_control,20,longrun_eval,safe_expression_burst,8,6,7500,4,18395,2,0,0,2,8,1615,87838,[],0,0,0
20260509,strong_static_calibrated,4,longrun_eval,schema_drift,8,5,6250,6,17682,3,0,0,3,8,1526,81586,[],0,0,0
20260509,strong_static_calibrated,5,longrun_eval,validator_burst,8,5,6250,6,17560,3,0,0,3,8,1572,79913,[],0,0,0
20260509,strong_static_calibrated,6,longrun_eval,context_budget_burst,8,5,6250,6,23213,3,0,0,3,8,1850,133666,[],0,0,0
20260509,strong_static_calibrated,7,longrun_eval,receipt_family_burst,8,6,7500,4,18614,2,0,0,2,8,1657,89624,[],0,0,0
20260509,strong_static_calibrated,8,longrun_eval,safe_expression_burst,8,6,7500,4,19609,2,0,0,2,8,1702,99116,[],0,0,0
20260509,strong_static_calibrated,9,longrun_eval,recovery,8,6,7500,4,16901,2,0,0,2,8,1572,73323,[],0,0,0
20260509,strong_static_calibrated,10,longrun_eval,schema_drift,8,5,6250,6,17093,3,0,0,3,8,1575,75213,[],0,0,0
20260509,strong_static_calibrated,11,longrun_eval,validator_burst,8,6,7500,4,18529,2,0,0,2,8,1619,89141,[],0,0,0
20260509,strong_static_calibrated,12,longrun_eval,context_budget_burst,8,6,7500,4,17451,2,0,0,2,8,1539,79159,[],0,0,0
