seed,condition,task_count,closed,closure_rate_bps,operational_debt_auc,cost_units,cost_to_close_units,closure_adjusted_cost_units,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,latency_ms,active_mutation_ids,active_mutation_count,active_retirement_ids,retirement_count,hard_floor_regression_count,rollback_failures,evidence_gap,rollback_gap
20260511,rule_adaptive_control,120,50,4167,291,241853,241853,941853,68,5,5,70,120,34527,873796,[],0,[],0,0,0,68,0
20260511,oasg_adaptive_from_strong,120,60,5000,270,223144,223144,823144,56,6,16,60,120,34150,690449,"['mut_policy_retirement_obligation_closure_phase_d_mixed_reversion', 'mut_policy_tightening_obligation_closure_phase_c2_structural_surface_shift', 'mut_schema_keys_only_code_transform_phase_b_mild_drift', 'mut_schema_keys_only_code_transform_phase_c1_structural_drift', 'mut_schema_keys_only_code_transform_phase_c2_structural_surface_shift', 'mut_schema_keys_only_code_transform_phase_c_structural_drift', 'mut_schema_keys_only_code_transform_phase_d1_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_d2_mixed_ratio_shift', 'mut_schema_keys_only_code_transform_phase_d_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_d_partial_reversion', 'mut_schema_keys_only_obligation_closure_phase_b_mild_drift', 'mut_schema_keys_only_obligation_closure_phase_c1_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_c2_structural_surface_shift', 'mut_schema_keys_only_obligation_closure_phase_c_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_d1_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d2_mixed_ratio_shift', 'mut_schema_keys_only_obligation_closure_phase_d_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d_partial_reversion', 'mut_strict_json_minimal_code_transform_phase_c1_structural_drift', 'mut_strict_json_minimal_code_transform_phase_c_structural_drift']",20,"['mut_policy_retirement_obligation_closure_phase_d_mixed_reversion', 'mut_policy_tightening_obligation_closure_phase_c2_structural_surface_shift']",2,0,0,56,0
20260512,strong_static_calibrated,120,52,4333,304,241437,241437,921437,64,8,16,68,120,34580,869127,[],0,[],0,0,0,64,0
20260512,oasg_observe_only_from_strong,120,52,4333,304,241684,241684,921684,64,8,16,68,120,34580,871604,[],0,[],0,0,0,64,0
20260512,rule_adaptive_control,120,50,4167,292,247291,247291,947291,68,6,5,70,120,34876,924624,[],0,[],0,0,0,68,0
20260512,oasg_adaptive_from_strong,120,60,5000,270,225040,225040,825040,56,6,16,60,120,34033,710594,"['mut_policy_retirement_obligation_closure_phase_d_mixed_reversion', 'mut_policy_tightening_obligation_closure_phase_c1_structural_drift', 'mut_policy_tightening_obligation_closure_phase_c_structural_drift', 'mut_schema_keys_only_code_transform_phase_b_mild_drift', 'mut_schema_keys_only_code_transform_phase_c1_structural_drift', 'mut_schema_keys_only_code_transform_phase_c2_structural_surface_shift', 'mut_schema_keys_only_code_transform_phase_c_structural_drift', 'mut_schema_keys_only_code_transform_phase_d1_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_d2_mixed_ratio_shift', 'mut_schema_keys_only_code_transform_phase_d_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_d_partial_reversion', 'mut_schema_keys_only_obligation_closure_phase_b_mild_drift', 'mut_schema_keys_only_obligation_closure_phase_c1_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_c2_structural_surface_shift', 'mut_schema_keys_only_obligation_closure_phase_c_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_d1_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d2_mixed_ratio_shift', 'mut_schema_keys_only_obligation_closure_phase_d_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d_partial_reversion', 'mut_strict_json_minimal_code_transform_phase_b_mild_drift', 'mut_strict_json_minimal_code_transform_phase_c1_structural_drift']",21,"['mut_policy_retirement_obligation_closure_phase_d_mixed_reversion', 'mut_policy_tightening_obligation_closure_phase_c1_structural_drift', 'mut_policy_tightening_obligation_closure_phase_c_structural_drift']",3,0,0,56,0
20260513,strong_static_calibrated,120,52,4333,304,239316,239316,919316,64,8,16,68,120,34610,847612,[],0,[],0,0,0,64,0
20260513,oasg_observe_only_from_strong,120,52,4333,304,239638,239638,919638,64,8,16,68,120,34610,850773,[],0,[],0,0,0,64,0
20260513,rule_adaptive_control,120,50,4167,288,243130,243130,943130,68,2,5,70,120,34830,883551,[],0,[],0,0,0,68,0
20260513,oasg_adaptive_from_strong,120,60,5000,270,222871,222871,822871,56,6,16,60,120,34214,687171,"['mut_policy_retirement_obligation_closure_phase_d_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_b_mild_drift', 'mut_schema_keys_only_code_transform_phase_c1_structural_drift', 'mut_schema_keys_only_code_transform_phase_c2_structural_surface_shift', 'mut_schema_keys_only_code_transform_phase_c_structural_drift', 'mut_schema_keys_only_code_transform_phase_d2_mixed_ratio_shift', 'mut_schema_keys_only_code_transform_phase_d_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_d_partial_reversion', 'mut_schema_keys_only_obligation_closure_phase_b_mild_drift', 'mut_schema_keys_only_obligation_closure_phase_c1_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_c2_structural_surface_shift', 'mut_schema_keys_only_obligation_closure_phase_c_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_d1_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d2_mixed_ratio_shift', 'mut_schema_keys_only_obligation_closure_phase_d_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d_partial_reversion', 'mut_strict_json_minimal_code_transform_phase_c_structural_drift']",17,['mut_policy_retirement_obligation_closure_phase_d_mixed_reversion'],1,0,0,56,0
